Top-K   Acc      MCC     F1      Preci   TPR     TNR     FPR
1       19.400  -9.067  �       0.000   0.000   19.439  80.561
2       19.800  -1.272  147.420 0.744   75.000  19.355  80.645
3       20.000  3.097   430.622 2.206   90.000  18.571  81.429
4       19.600  -1.011  563.380 2.920   80.000  17.732  82.268
5       20.000  5.553   740.741 3.855   94.118  17.391  82.609
6       19.000  2.669   732.265 3.819   88.889  16.390  83.610
7       19.000  2.967   774.487 4.048   89.474  16.216  83.784
8       18.800  0.869   814.480 4.276   85.714  15.866  84.134
9       19.000  -1.922  979.955 5.213   81.481  15.433  84.567
10      18.000  -10.976 1008.772        5.437   69.697  14.347  85.653
11      17.600  -14.069 1043.478        5.660   66.667  13.793  86.207
12      18.000  -11.661 1125.541        6.118   70.270  13.823  86.177
13      18.400  -9.301  1206.897        6.573   73.684  13.853  86.147
14      19.200  -3.124  1367.521        7.459   82.051  13.883  86.117
15      19.600  -0.850  1446.809        7.907   85.000  13.913  86.087
16      20.000  -0.249  1525.424        8.372   85.714  13.974  86.026
17      19.600  -10.644 1518.987        8.471   73.469  13.747  86.253
18      18.800  -27.750 1506.276        8.717   55.385  13.333  86.667
19      19.400  -31.219 1690.722        10.049  53.247  13.239  86.761
20      18.400  -41.696 1707.317        10.553  44.681  12.315  87.685

