Top-K   Acc      MCC     F1      Preci   TPR     TNR     FPR
1       45.000  5.098   678.161 3.571   75.000  44.324  55.676
2       45.000  10.903  1270.161        6.897   83.333  43.152  56.848
3       44.000  9.029   1764.706        10.000  75.000  41.304  58.696
4       40.000  -2.705  1885.965        11.290  58.571  37.494  62.506
5       41.000  0.012   2532.051        15.877  63.492  36.897  63.103
6       41.000  2.063   2891.986        18.466  67.500  35.357  64.643
7       39.000  -5.648  2986.258        20.114  60.256  33.421  66.579
8       40.000  -2.874  3478.261        23.929  64.935  32.051  67.949
9       39.000  -5.182  3835.784        27.206  66.912  28.110  71.890
10      40.000  -4.723  4115.385        30.180  67.409  28.030  71.970
11      37.000  -16.729 4115.385        31.454  60.565  23.580  76.420
12      40.000  -11.679 4544.853        35.238  64.840  24.351  75.649
13      41.000  -12.677 4780.289        38.644  64.111  24.062  75.938
14      42.000  -11.781 5000.000        40.978  65.688  23.320  76.680
15      41.000  -17.264 5036.744        42.448  62.963  21.214  78.786
16      42.000  -17.795 5247.312        45.151  63.354  20.202  79.798
17      44.000  -15.658 5485.298        49.535  62.836  22.065  77.935
18      43.000  -20.202 5511.166        52.973  59.714  20.000  80.000
19      40.000  -30.726 5384.980        52.643  56.481  12.267  87.733
20      41.000  -30.998 5563.348        54.969  57.819  10.664  89.336

