Top-K   Acc      MCC     F1      Preci   TPR     TNR     FPR
1       35.800  -5.969  �       0.000   0.000   35.872  64.128
2       35.200  1.848   181.818 0.920   75.000  34.879  65.121
3       35.400  7.188   527.859 2.719   90.000  34.286  65.714
4       36.000  9.968   804.598 4.204   93.333  34.227  65.773
5       36.200  10.883  911.681 4.790   94.118  34.161  65.839
6       36.200  11.279  963.173 5.075   94.444  34.025  65.975
7       36.000  11.591  1011.236        5.341   94.737  33.680  66.320
8       35.200  12.018  1098.901        5.831   95.238  32.568  67.432
9       35.200  13.788  1382.979        7.450   96.296  31.712  68.288
10      35.800  15.472  1662.338        9.091   96.970  31.478  68.522
11      36.200  16.276  1799.486        9.915   97.222  31.466  68.534
12      36.200  16.474  1841.432        10.169  97.297  31.317  68.683
13      36.200  16.666  1882.952        10.423  97.368  31.169  68.831
14      36.200  16.852  1924.051        10.674  97.436  31.020  68.980
15      36.000  16.937  1959.799        10.894  97.500  30.652  69.348
16      36.200  17.376  2044.888        11.421  97.619  30.568  69.432
17      35.600  10.441  2068.966        11.765  85.714  30.155  69.845
18      36.000  1.149   2233.010        13.256  70.769  30.805  69.195
19      35.200  -5.757  2285.714        13.994  62.338  30.260  69.740
20      35.200  -10.439 2500.000        15.976  57.447  30.049  69.951
